DZ_CODE,UR2FOLD,UR3FOLD,UR6FOLD,UR8FOLD
S01006766,1,1,1,1
S01006767,1,1,1,1
S01006768,1,1,1,1
S01006769,1,1,1,1
S01006770,1,1,1,1
S01006771,1,1,1,1
S01006772,1,1,1,1
S01006773,1,1,1,1
S01006774,1,1,1,1
S01006775,1,1,1,1
S01006776,1,1,1,1
S01006777,1,1,1,1
S01006778,1,1,1,1
S01006779,1,1,1,1
S01006780,1,1,1,1
S01006781,1,1,1,1
S01006782,1,1,1,1
S01006783,1,1,1,1
S01006784,1,1,1,1
S01006785,1,1,1,1
S01006786,1,1,1,1
S01006787,1,1,1,1
S01006788,1,1,1,1
S01007137,1,1,1,1
S01007142,1,1,1,1
S01007145,1,1,1,1
S01007146,1,1,1,1
S01007147,1,1,1,1
S01007148,1,1,1,1
S01007149,1,1,1,1
S01007150,1,1,1,1
S01007151,1,1,1,1
S01007152,1,1,1,1
S01007153,1,1,1,1
S01007154,1,1,1,1
S01007155,1,1,1,1
S01007682,1,1,1,1
S01007683,1,1,1,1
S01007684,1,1,1,1
S01007685,1,1,1,1
S01007686,1,1,1,1
S01007687,1,1,1,1
S01007688,1,1,1,1
S01007689,1,1,1,1
S01007690,1,1,1,1
S01007691,1,1,1,1
S01007692,1,1,1,1
S01007693,1,1,1,1
S01007694,1,1,1,1
S01007695,1,1,1,1
S01007696,1,1,1,1
S01007697,1,1,1,1
S01007698,1,1,1,1
S01007699,1,1,1,1
S01007700,1,1,1,1
S01007701,1,1,1,1
S01007702,1,1,1,1
S01007703,1,1,1,1
S01007704,1,1,1,1
S01007705,1,1,1,1
S01007706,1,1,1,1
S01007707,1,1,1,1
S01007708,1,1,1,1
S01007709,1,1,1,1
S01007710,1,1,1,1
S01007711,1,1,1,1
S01007712,1,1,1,1
S01007713,1,1,1,1
S01007714,1,1,1,1
S01007715,1,1,1,1
S01007716,1,1,1,1
S01007717,1,1,1,1
S01007718,1,1,1,1
S01007719,1,1,1,1
S01007720,1,1,1,1
S01007721,1,1,1,1
S01007722,1,1,1,1
S01007723,1,1,1,1
S01007724,1,1,1,1
S01007725,1,1,1,1
S01007726,1,1,1,1
S01007727,1,1,1,1
S01007728,1,1,1,1
S01007729,1,1,1,1
S01007730,1,1,1,1
S01007731,1,1,1,1
S01007732,1,1,1,1
S01007733,1,1,1,1
S01007734,1,1,1,1
S01007735,1,1,1,1
S01007736,1,1,1,1
S01007737,1,1,1,1
S01007738,1,1,1,1
S01007739,1,1,1,1
S01007740,1,1,1,1
S01007741,1,1,1,1
S01007742,1,1,1,1
S01007743,1,1,1,1
S01007744,1,1,1,1
S01007745,1,1,1,1
S01007746,1,1,1,1
S01007747,1,1,1,1
S01007748,1,1,1,1
S01007749,1,1,1,1
S01007750,1,1,1,1
S01007751,1,1,1,1
S01007752,1,1,1,1
S01007753,1,1,1,1
S01007754,1,1,1,1
S01007755,1,1,1,1
S01007756,1,1,1,1
S01007757,1,1,1,1
S01007758,1,1,1,1
S01007759,1,1,1,1
S01007760,1,1,1,1
S01007761,1,1,1,1
S01007762,1,1,1,1
S01007763,1,1,1,1
S01007764,1,1,1,1
S01007765,1,1,1,1
S01007766,1,1,1,1
S01007767,1,1,1,1
S01007768,1,1,1,1
S01007769,1,1,1,1
S01007770,1,1,1,1
S01007771,1,1,1,1
S01007772,1,1,1,1
S01007773,1,1,1,1
S01007774,1,1,1,1
S01007775,1,1,1,1
S01007776,1,1,1,1
S01007777,1,1,1,1
S01007778,1,1,1,1
S01007779,1,1,1,1
S01007780,1,1,1,1
S01007781,1,1,1,1
S01007782,1,1,1,1
S01007783,1,1,1,1
S01007784,1,1,1,1
S01007785,1,1,1,1
S01007786,1,1,1,1
S01007787,1,1,1,1
S01007788,1,1,1,1
S01007789,1,1,1,1
S01007790,1,1,1,1
S01007791,1,1,1,1
S01007792,1,1,1,1
S01007793,1,1,1,1
S01007794,1,1,1,1
S01007795,1,1,1,1
S01007796,1,1,1,1
S01007797,1,1,1,1
S01007798,1,1,1,1
S01007799,1,1,1,1
S01007800,1,1,1,1
S01007801,1,1,1,1
S01007802,1,1,1,1
S01007803,1,1,1,1
S01007804,1,1,1,1
S01007805,1,1,1,1
S01007806,1,1,1,1
S01007807,1,1,1,1
S01007808,1,1,1,1
S01007809,1,1,1,1
S01007810,1,1,1,1
S01007811,1,1,1,1
S01007812,1,1,1,1
S01007813,1,1,1,1
S01007814,1,1,1,1
