local-authority-code,highly-rural,rural,urban,ruc-cluster-label
ABC,0.40749296484522657,0.10256158968830648,0.48994544546646696,Sparse and rural
ABD,0.4916925079438,0.21246506642165308,0.29584242563454693,Sparse and rural
ABE,0.0024576901211352605,0.06001661783355928,0.9375256920453054,Urban
ADU,0.0,0.0,1.0,Urban
AGB,0.46974496331664145,0.35218353324793295,0.17807150343542563,Sparse and rural
AGY,0.42312579415501905,0.40582213782961896,0.171052068015362,Rural
ALL,0.27093626292693407,0.4457503503442068,0.28331338672885914,Rural
AMB,0.09329910181276191,0.09485200589947482,0.8118488922877632,Urban with rural areas
AND,0.17033489279233685,0.226716124970683,0.6029489822369801,Urban with rural areas
ANN,0.19437709030100334,0.17449832775919732,0.6311245819397994,Urban with rural areas
ANS,0.274552495697074,0.11356282271944923,0.6118846815834768,Urban with rural areas
ARU,0.046647756254743156,0.1121250575399047,0.8412271862053522,Urban
ASF,0.2361880152577827,0.1332056724498585,0.6306063122923588,Urban with rural areas
ASH,0.0,0.0,1.0,Urban
BAB,0.36743230909644053,0.32740449389369375,0.3051631970098657,Rural
BAE,0.22968865731872398,0.18678006793859986,0.5835312747426762,Urban with rural areas
BAI,0.0,0.0,1.0,Urban
BAN,0.12341008709834525,0.1438198683897566,0.7327700445118982,Urban with rural areas
BAR,0.0,0.33265223940700084,0.6673477605929992,Urban with rural areas
BAS,0.12130462226177295,0.0783414906716611,0.800353887066566,Urban with rural areas
BBD,0.02012077811030355,0.021116128687473278,0.9587630932022232,Urban
BDF,0.16828243658103087,0.1517381067793089,0.6799794566396602,Urban with rural areas
BDG,0.0,0.0,1.0,Urban
BEN,0.0,0.0,1.0,Urban
BEX,0.0,0.0,1.0,Urban
BFS,0.0,0.004784096271826333,0.9952159037281737,Urban
BGE,0.029078742459996327,0.17047378764901494,0.8004474698909887,Urban with rural areas
BGW,0.0,0.10376170164037675,0.8962382983596232,Urban
BIR,0.0,0.0,1.0,Urban
BLA,0.02535311151823178,0.1770383941059433,0.7976084943758249,Urban with rural areas
BNE,0.0,0.0,1.0,Urban
BNH,0.0,0.0,1.0,Urban
BNS,0.03285183054774655,0.05693372112806138,0.9102144483241921,Urban
BOL,0.0,0.0,1.0,Urban
BOS,0.04526948188972468,0.4114346714331819,0.5432958466770934,Rural
BOT,0.1999914497028772,0.12047368646060451,0.6795348638365183,Urban with rural areas
BPC,0.0,0.0,1.0,Urban
BPL,0.0,0.0,1.0,Urban
BRA,0.17200728683389688,0.20166574925952138,0.6263269639065817,Urban with rural areas
BRC,0.012068641930982709,0.0,0.9879313580690173,Urban
BRD,0.0028511827128290253,0.05124162615603509,0.9459071911311359,Urban
