PARL25,ruc-cluster-label
UKPARL.2025.AAD,Urban with rural areas
UKPARL.2025.AAG,Rural
UKPARL.2025.AAS,Urban with rural areas
UKPARL.2025.ABF,Urban with rural areas
UKPARL.2025.ABH,Urban
UKPARL.2025.ABL,Sparse and rural
UKPARL.2025.ABM,Sparse and rural
UKPARL.2025.ABN,Urban
UKPARL.2025.ABS,Urban
UKPARL.2025.ABV,Urban with rural areas
UKPARL.2025.ACC,Rural
UKPARL.2025.AFM,Urban with rural areas
UKPARL.2025.AHT,Urban
UKPARL.2025.APG,Sparse and rural
UKPARL.2025.ASD,Sparse and rural
UKPARL.2025.ASF,Urban
UKPARL.2025.ASH,Urban with rural areas
UKPARL.2025.ASW,Urban
UKPARL.2025.AUL,Urban
UKPARL.2025.AYS,Urban with rural areas
UKPARL.2025.BAA,Urban with rural areas
UKPARL.2025.BAB,Urban
UKPARL.2025.BAC,Urban with rural areas
UKPARL.2025.BAF,Sparse and rural
UKPARL.2025.BAI,Urban
UKPARL.2025.BAL,Urban with rural areas
UKPARL.2025.BAN,Rural
UKPARL.2025.BAO,Rural
UKPARL.2025.BAP,Urban
UKPARL.2025.BAS,Urban with rural areas
UKPARL.2025.BAT,Urban
UKPARL.2025.BAU,Urban with rural areas
UKPARL.2025.BBH,Urban
UKPARL.2025.BBN,Urban
UKPARL.2025.BCF,Urban with rural areas
UKPARL.2025.BDE,Urban
UKPARL.2025.BDS,Urban
UKPARL.2025.BDW,Urban
UKPARL.2025.BEA,Urban
UKPARL.2025.BEB,Urban
UKPARL.2025.BED,Urban
UKPARL.2025.BER,Urban
UKPARL.2025.BES,Urban with rural areas
UKPARL.2025.BEV,Rural
UKPARL.2025.BEX,Rural
UKPARL.2025.BGA,Rural
UKPARL.2025.BGN,Urban with rural areas
UKPARL.2025.BGR,Urban with rural areas
UKPARL.2025.BGS,Urban
UKPARL.2025.BHE,Urban
UKPARL.2025.BHG,Urban
UKPARL.2025.BHW,Urban
UKPARL.2025.BIA,Rural
UKPARL.2025.BIM,Rural
UKPARL.2025.BKG,Urban
UKPARL.2025.BKH,Urban
UKPARL.2025.BKP,Urban
UKPARL.2025.BLA,Urban
UKPARL.2025.BLN,Urban
UKPARL.2025.BLS,Urban
UKPARL.2025.BLW,Urban
UKPARL.2025.BMS,Urban
UKPARL.2025.BNE,Urban
UKPARL.2025.BNF,Urban
UKPARL.2025.BNN,Urban
UKPARL.2025.BNS,Urban
UKPARL.2025.BNW,Urban
UKPARL.2025.BOL,Rural
UKPARL.2025.BOS,Urban
UKPARL.2025.BPB,Urban
UKPARL.2025.BPN,Urban
