index,cluster_no
UKPARL.2025.EWE,1
UKPARL.2025.EWH,3
UKPARL.2025.EWS,3
UKPARL.2025.EWT,2
UKPARL.2025.EXM,1
UKPARL.2025.EXT,3
UKPARL.2025.FAB,1
UKPARL.2025.FAH,1
UKPARL.2025.FAV,1
UKPARL.2025.FAW,1
UKPARL.2025.FBS,3
UKPARL.2025.FEL,3
UKPARL.2025.FES,4
UKPARL.2025.FGG,3
UKPARL.2025.FLK,3
UKPARL.2025.FOD,2
UKPARL.2025.FOY,1
UKPARL.2025.FST,2
UKPARL.2025.FYL,1
UKPARL.2025.GAA,1
UKPARL.2025.GAB,1
UKPARL.2025.GAD,3
UKPARL.2025.GAP,4
UKPARL.2025.GAR,3
UKPARL.2025.GAS,2
UKPARL.2025.GAW,3
UKPARL.2025.GCW,3
UKPARL.2025.GDB,2
UKPARL.2025.GEA,3
UKPARL.2025.GED,3
UKPARL.2025.GGC,3
UKPARL.2025.GLO,3
UKPARL.2025.GMF,1
UKPARL.2025.GNB,2
UKPARL.2025.GNE,3
UKPARL.2025.GNO,3
UKPARL.2025.GOS,3
UKPARL.2025.GRV,1
UKPARL.2025.GSO,3
UKPARL.2025.GSW,3
UKPARL.2025.GUI,1
UKPARL.2025.GWE,3
UKPARL.2025.GWR,1
UKPARL.2025.GYM,4
UKPARL.2025.HAB,1
UKPARL.2025.HAC,3
UKPARL.2025.HAE,3
UKPARL.2025.HAH,3
UKPARL.2025.HAL,3
UKPARL.2025.HAP,3
UKPARL.2025.HAR,1
UKPARL.2025.HAS,3
UKPARL.2025.HAT,4
UKPARL.2025.HAU,3
UKPARL.2025.HAV,3
UKPARL.2025.HAW,3
UKPARL.2025.HAY,3
UKPARL.2025.HAZ,3
UKPARL.2025.HBS,1
UKPARL.2025.HBV,1
UKPARL.2025.HCV,1
UKPARL.2025.HEN,3
UKPARL.2025.HEX,4
UKPARL.2025.HFB,3
UKPARL.2025.HFX,3
UKPARL.2025.HGK,1
UKPARL.2025.HIT,4
UKPARL.2025.HKB,1
UKPARL.2025.HLW,1
UKPARL.2025.HML,3
UKPARL.2025.HMN,3
UKPARL.2025.HMR,1
UKPARL.2025.HNE,1
UKPARL.2025.HNS,2
UKPARL.2025.HOW,1
UKPARL.2025.HPK,1
UKPARL.2025.HPL,3
UKPARL.2025.HRH,4
UKPARL.2025.HRS,1
UKPARL.2025.HSD,3
UKPARL.2025.HSN,3
UKPARL.2025.HSP,3
UKPARL.2025.HSS,3
UKPARL.2025.HTD,4
UKPARL.2025.HUD,3
UKPARL.2025.HUE,3
UKPARL.2025.HUN,3
UKPARL.2025.HUW,3
UKPARL.2025.HWC,4
UKPARL.2025.HYB,3
UKPARL.2025.ILN,3
UKPARL.2025.ILS,3
UKPARL.2025.IPS,3
UKPARL.2025.IRW,1
UKPARL.2025.ISN,3
UKPARL.2025.ISS,3
UKPARL.2025.ISW,1
UKPARL.2025.IWE,1
UKPARL.2025.IWW,1
UKPARL.2025.JGE,3
UKPARL.2025.KAB,3
UKPARL.2025.KAI,1
UKPARL.2025.KAL,4
UKPARL.2025.KAS,3
UKPARL.2025.KET,1
UKPARL.2025.KLW,4
UKPARL.2025.KNW,3
UKPARL.2025.KSS,1
UKPARL.2025.LAA,3
UKPARL.2025.LAH,2
UKPARL.2025.LAN,4
UKPARL.2025.LAW,3
UKPARL.2025.LBO,3
UKPARL.2025.LCH,3
UKPARL.2025.LEA,3
UKPARL.2025.LEE,3
UKPARL.2025.LES,3
UKPARL.2025.LEW,3
UKPARL.2025.LGT,3
UKPARL.2025.LGV,4
UKPARL.2025.LIC,4
UKPARL.2025.LLE,1
UKPARL.2025.LNC,3
UKPARL.2025.LNE,3
UKPARL.2025.LNW,3
UKPARL.2025.LOE,4
UKPARL.2025.LRV,3
UKPARL.2025.LSO,3
UKPARL.2025.LSW,3
UKPARL.2025.LUN,3
UKPARL.2025.LUS,1
UKPARL.2025.LVG,1
UKPARL.2025.LWD,3
UKPARL.2025.LWE,3
UKPARL.2025.LWL,3
UKPARL.2025.LWN,3
UKPARL.2025.LWP,3
UKPARL.2025.LWS,1
UKPARL.2025.LWT,3
UKPARL.2025.LWV,3
UKPARL.2025.LWW,3
UKPARL.2025.MAC,3
UKPARL.2025.MAG,2
UKPARL.2025.MAI,3
UKPARL.2025.MAL,4
UKPARL.2025.MAM,3
UKPARL.2025.MAN,1
UKPARL.2025.MAS,1
UKPARL.2025.MBD,4
UKPARL.2025.MBU,2
UKPARL.2025.MCH,3
UKPARL.2025.MCL,1
UKPARL.2025.MCT,3
UKPARL.2025.MDB,1
UKPARL.2025.MDE,3
UKPARL.2025.MDP,1
UKPARL.2025.MDS,1
UKPARL.2025.MID,1
UKPARL.2025.MKC,3
UKPARL.2025.MKF,3
UKPARL.2025.MKM,4
UKPARL.2025.MKN,1
UKPARL.2025.MLE,1
UKPARL.2025.MMS,4
UKPARL.2025.MNF,2
UKPARL.2025.MNS,2
UKPARL.2025.MOR,4
UKPARL.2025.MRH,3
UKPARL.2025.MSE,1
UKPARL.2025.MSP,2
UKPARL.2025.MSU,3
UKPARL.2025.MTA,1
UKPARL.2025.MTE,3
UKPARL.2025.MUL,2
UKPARL.2025.MWC,1
UKPARL.2025.MWI,3
UKPARL.2025.NAA,4
UKPARL.2025.NAH,4
UKPARL.2025.NAN,2
UKPARL.2025.NAR,2
UKPARL.2025.NAS,4
UKPARL.2025.NBD,4
UKPARL.2025.NBY,1
UKPARL.2025.NCE,3
UKPARL.2025.NCL,3
UKPARL.2025.NCN,3
UKPARL.2025.NCR,2
UKPARL.2025.NCT,2
UKPARL.2025.NDH,1
UKPARL.2025.NDS,2
UKPARL.2025.NDV,4
UKPARL.2025.NDW,1
UKPARL.2025.NEC,1
UKPARL.2025.NED,3
UKPARL.2025.NEF,2
UKPARL.2025.NEH,4
UKPARL.2025.NES,1
UKPARL.2025.NFE,1
UKPARL.2025.NFW,1
UKPARL.2025.NGE,3
UKPARL.2025.NGN,3
UKPARL.2025.NGS,3
UKPARL.2025.NHI,2
UKPARL.2025.NHN,3
UKPARL.2025.NHR,2
UKPARL.2025.NHS,3
UKPARL.2025.NNF,2
UKPARL.2025.NNU,2
UKPARL.2025.NPE,1
UKPARL.2025.NPI,3
UKPARL.2025.NRN,3
UKPARL.2025.NRS,3
UKPARL.2025.NSO,2
UKPARL.2025.NSS,1
UKPARL.2025.NSW,1
UKPARL.2025.NTA,1
UKPARL.2025.NUL,1
UKPARL.2025.NUN,3
UKPARL.2025.NWB,4
UKPARL.2025.NWC,4
UKPARL.2025.NWE,2
UKPARL.2025.NWH,1
UKPARL.2025.NWK,4
UKPARL.2025.NWL,4
UKPARL.2025.NWN,4
UKPARL.2025.OAS,2
UKPARL.2025.OBS,3
UKPARL.2025.ODB,1
UKPARL.2025.OLE,3
UKPARL.2025.OLW,3
UKPARL.2025.ORP,3
UKPARL.2025.OXE,3
UKPARL.2025.OXW,3
UKPARL.2025.PAL,3
UKPARL.2025.PAS,1
UKPARL.2025.PBO,3
UKPARL.2025.PCK,3
UKPARL.2025.PDL,1
UKPARL.2025.PEN,2
UKPARL.2025.PHK,2
UKPARL.2025.PKM,3
UKPARL.2025.PLE,3
UKPARL.2025.PMV,3
UKPARL.2025.PON,3
UKPARL.2025.POS,3
UKPARL.2025.PPD,1
UKPARL.2025.PRE,3
UKPARL.2025.PRN,3
UKPARL.2025.PRS,3
UKPARL.2025.PSD,3
UKPARL.2025.PUT,3
UKPARL.2025.QPK,3
UKPARL.2025.RAC,3
UKPARL.2025.RAD,3
UKPARL.2025.RAH,1
UKPARL.2025.RAN,2
UKPARL.2025.RAO,4
UKPARL.2025.RAS,1
UKPARL.2025.RAW,3
UKPARL.2025.RCD,3
UKPARL.2025.RCF,4
UKPARL.2025.RDC,1
UKPARL.2025.RDG,3
UKPARL.2025.RDW,4
UKPARL.2025.RED,1
UKPARL.2025.REI,3
UKPARL.2025.RGN,3
UKPARL.2025.RHM,3
UKPARL.2025.RHV,1
UKPARL.2025.RIV,4
UKPARL.2025.RMF,3
UKPARL.2025.RNP,3
UKPARL.2025.RPK,3
UKPARL.2025.RSO,1
UKPARL.2025.RUG,1
UKPARL.2025.RUN,3
UKPARL.2025.RUT,2
UKPARL.2025.SAB,3
UKPARL.2025.SAC,3
UKPARL.2025.SAH,3
UKPARL.2025.SAL,2
UKPARL.2025.SAN,4
UKPARL.2025.SAR,2
UKPARL.2025.SAS,1
UKPARL.2025.SAU,3
UKPARL.2025.SAW,1
UKPARL.2025.SBH,3
UKPARL.2025.SBR,3
UKPARL.2025.SBT,1
UKPARL.2025.SBY,4
UKPARL.2025.SCB,4
UKPARL.2025.SCE,3
UKPARL.2025.SCN,3
UKPARL.2025.SCT,2
UKPARL.2025.SCU,1
UKPARL.2025.SDE,4
UKPARL.2025.SDS,1
UKPARL.2025.SDV,4
UKPARL.2025.SDW,2
UKPARL.2025.SEC,2
UKPARL.2025.SEF,3
UKPARL.2025.SER,3
UKPARL.2025.SEV,4
UKPARL.2025.SFC,4
UKPARL.2025.SFD,3
UKPARL.2025.SGF,2
UKPARL.2025.SGW,4
UKPARL.2025.SHA,3
UKPARL.2025.SHD,4
UKPARL.2025.SHE,3
UKPARL.2025.SHN,3
UKPARL.2025.SHR,1
UKPARL.2025.SHS,3
UKPARL.2025.SHY,1
UKPARL.2025.SKN,3
UKPARL.2025.SKW,1
UKPARL.2025.SLE,4
UKPARL.2025.SLO,3
UKPARL.2025.SLR,4
UKPARL.2025.SMK,3
UKPARL.2025.SNC,4
UKPARL.2025.SNF,2
UKPARL.2025.SNH,2
UKPARL.2025.SNN,3
UKPARL.2025.SNQ,4
UKPARL.2025.SNS,3
UKPARL.2025.SOA,2
UKPARL.2025.SOI,3
UKPARL.2025.SOP,1
UKPARL.2025.SOT,3
UKPARL.2025.SPL,3
UKPARL.2025.SPT,3
UKPARL.2025.SPV,3
UKPARL.2025.SRH,1
UKPARL.2025.SRI,1
UKPARL.2025.SSE,3
UKPARL.2025.SSF,2
UKPARL.2025.SSH,3
UKPARL.2025.SSO,2
UKPARL.2025.STA,3
UKPARL.2025.STC,3
UKPARL.2025.STF,1
UKPARL.2025.STG,4
UKPARL.2025.STM,1
UKPARL.2025.STN,3
UKPARL.2025.STR,1
UKPARL.2025.STS,1
UKPARL.2025.STV,2
UKPARL.2025.SUN,3
UKPARL.2025.SUT,3
UKPARL.2025.SVG,3
UKPARL.2025.SWD,1
UKPARL.2025.SWF,4
UKPARL.2025.SWG,3
UKPARL.2025.SWH,3
UKPARL.2025.SWL,3
UKPARL.2025.SWN,2
UKPARL.2025.SWS,3
UKPARL.2025.SWT,3
UKPARL.2025.SWW,1
UKPARL.2025.SXW,4
UKPARL.2025.TAM,2
UKPARL.2025.TAT,1
UKPARL.2025.TAV,2
UKPARL.2025.TAW,1
UKPARL.2025.TAY,1
UKPARL.2025.TEW,1
UKPARL.2025.TFD,3
UKPARL.2025.THK,3
UKPARL.2025.TIP,3
UKPARL.2025.TIV,2
UKPARL.2025.TMW,1
UKPARL.2025.TNW,1
UKPARL.2025.TON,4
UKPARL.2025.TOO,3
UKPARL.2025.TOR,3
UKPARL.2025.TOT,3
UKPARL.2025.TRB,3
UKPARL.2025.TRF,1
UKPARL.2025.TWI,3
UKPARL.2025.TYN,3
UKPARL.2025.UBN,1
UKPARL.2025.UXB,3
UKPARL.2025.VCG,3
UKPARL.2025.VOG,1
UKPARL.2025.WAB,3
UKPARL.2025.WAE,2
UKPARL.2025.WAH,3
UKPARL.2025.WAK,2
UKPARL.2025.WAL,2
UKPARL.2025.WAN,1
UKPARL.2025.WAS,3
UKPARL.2025.WAT,3
UKPARL.2025.WAV,2
UKPARL.2025.WAW,4
UKPARL.2025.WBR,1
UKPARL.2025.WBW,3
UKPARL.2025.WDB,3
UKPARL.2025.WDS,2
UKPARL.2025.WEL,2
UKPARL.2025.WGN,3
UKPARL.2025.WGS,3
UKPARL.2025.WHB,3
UKPARL.2025.WHT,3
UKPARL.2025.WHW,3
UKPARL.2025.WIM,3
UKPARL.2025.WIN,4
UKPARL.2025.WIR,3
UKPARL.2025.WIT,4
UKPARL.2025.WKF,3
UKPARL.2025.WKL,3
UKPARL.2025.WKM,1
UKPARL.2025.WKT,2
UKPARL.2025.WLA,1
UKPARL.2025.WLL,3
UKPARL.2025.WND,3
UKPARL.2025.WNE,3
UKPARL.2025.WOK,3
UKPARL.2025.WOR,3
UKPARL.2025.WRE,1
UKPARL.2025.WRH,3
UKPARL.2025.WRK,1
UKPARL.2025.WSE,3
UKPARL.2025.WSF,4
UKPARL.2025.WSL,3
UKPARL.2025.WSM,3
UKPARL.2025.WTM,4
UKPARL.2025.WTY,2
UKPARL.2025.WWE,3
UKPARL.2025.WWR,2
UKPARL.2025.WYC,3
UKPARL.2025.WYF,1
UKPARL.2025.WYT,3
UKPARL.2025.YEO,4
UKPARL.2025.YNM,2
UKPARL.2025.YOC,3
UKPARL.2025.YOO,1
