local-authority-code,ruc-cluster-label
TRF,Urban
TUN,Urban with rural areas
TWH,Urban
UTT,Rural
VAL,Urban with rural areas
VGL,Urban with rural areas
WAE,Urban with rural areas
WAT,Urban
WAW,Urban
WBK,Urban with rural areas
WDE,Sparse and rural
WDU,Urban
WEA,Urban with rural areas
WEW,Urban
WFT,Urban
WGN,Urban
WIL,Urban with rural areas
WIN,Rural
WKF,Urban with rural areas
WLA,Urban with rural areas
WLI,Rural
WLL,Urban
WLN,Urban with rural areas
WLV,Urban
WND,Urban
WNM,Urban
WNT,Urban with rural areas
WOC,Urban
WOI,Urban
WOK,Urban
WOT,Urban
WOX,Rural
WRL,Urban
WRT,Urban
WRX,Urban with rural areas
WSK,Urban with rural areas
WSM,Urban
WYC,Rural
WYE,Urban with rural areas
WYR,Urban with rural areas
YOR,Urban
ZET,Sparse and rural
CAM,Rural
CMA,Rural
DBY,Urban with rural areas
DEV,Rural
ESS,Urban with rural areas
ESX,Urban with rural areas
GLS,Urban with rural areas
HAM,Urban with rural areas
HRT,Urban
KEN,Urban with rural areas
LAN,Urban with rural areas
LEC,Urban with rural areas
LIN,Urban with rural areas
NFK,Rural
NTT,Urban with rural areas
NYK,Rural
OXF,Urban with rural areas
SFK,Urban with rural areas
SOM,Urban with rural areas
SRY,Urban
STS,Urban with rural areas
WAR,Urban with rural areas
WOR,Urban with rural areas
WSX,Urban with rural areas
CPCA,Urban with rural areas
GLA,Urban
GMCA,Urban
LCR,Urban
NECA,Urban with rural areas
NTCA,Urban with rural areas
SCR,Urban
TVCA,Urban
WECA,Urban
WMCA,Urban
WYCA,Urban
