pcon,ruc-cluster-label
E14000750,Urban
E14000751,Urban
E14000752,Urban
E14000753,Urban with rural areas
E14000754,Urban
E14000755,Urban
E14000756,Urban
E14000757,Urban with rural areas
E14000758,Urban
E14000759,Urban
E14000760,Urban
E14000761,Urban
E14000762,Urban with rural areas
E14000763,Urban
E14000764,Urban
E14000765,Urban
E14000766,Urban with rural areas
E14000767,Rural
E14000768,Urban
E14000769,Urban with rural areas
E14000770,Urban
E14000771,Urban
E14000772,Urban
E14000773,Urban
E14000774,Urban
E14000775,Urban
E14000776,Urban with rural areas
E14000777,Urban
E14000778,Urban
E14000779,Urban
E14000780,Urban
E14000781,Urban
E14000782,Urban
E14000783,Urban
E14000784,Urban
E14000785,Urban
E14000786,Urban with rural areas
E14000787,Urban
E14000788,Urban
E14000789,Urban
E14000790,Urban
E14000791,Urban with rural areas
E14000792,Urban
E14000793,Urban
E14000794,Urban
E14000795,Urban
E14000796,Urban
E14000797,Urban
E14000798,Sparse and rural
E14000799,Sparse and rural
E14000800,Urban
E14000801,Urban
E14000802,Urban
E14000803,Urban with rural areas
E14000804,Urban with rural areas
E14000805,Urban
E14000806,Rural
E14000807,Urban
E14000808,Urban
E14000809,Urban
E14000810,Urban
E14000811,Rural
E14000812,Urban with rural areas
E14000813,Rural
E14000814,Urban
E14000815,Urban with rural areas
E14000816,Sparse and rural
E14000817,Urban
E14000818,Rural
E14000819,Urban
E14000820,Urban with rural areas
E14000821,Urban
E14000822,Urban
E14000823,Urban
E14000824,Urban with rural areas
E14000825,Urban with rural areas
E14000826,Urban
E14000827,Urban with rural areas
E14000828,Urban with rural areas
E14000829,Rural
E14000830,Urban with rural areas
E14000831,Urban
E14000832,Urban
E14000833,Urban
E14000834,Urban with rural areas
E14000835,Urban with rural areas
E14000836,Urban
E14000837,Sparse and rural
E14000838,Rural
E14000839,Sparse and rural
E14000840,Urban with rural areas
E14000841,Rural
E14000842,Urban with rural areas
E14000843,Urban
E14000844,Rural
E14000845,Urban with rural areas
E14000846,Urban with rural areas
E14000847,Sparse and rural
E14000848,Sparse and rural
E14000849,Sparse and rural
E14000850,Urban with rural areas
E14000851,Urban
E14000852,Urban
E14000853,Urban
E14000854,Rural
E14000855,Rural
E14000856,Rural
E14000857,Urban with rural areas
E14000858,Rural
E14000859,Rural
E14000860,Sparse and rural
E14000861,Urban
E14000862,Urban
E14000863,Urban
E14000864,Urban
E14000865,Urban
E14000866,Urban
E14000867,Urban
E14000868,Urban
E14000869,Urban
E14000870,Urban
E14000871,Urban
E14000872,Urban
E14000873,Urban
E14000874,Urban
E14000875,Urban
E14000876,Urban with rural areas
E14000877,Sparse and rural
E14000878,Urban
E14000879,Urban
E14000880,Urban
E14000881,Urban
E14000882,Urban
E14000883,Urban
E14000884,Urban
E14000885,Urban
E14000886,Urban
E14000887,Urban
E14000888,Urban
E14000889,Urban
E14000890,Urban
E14000891,Urban
E14000892,Urban
E14000893,Urban
E14000894,Urban with rural areas
E14000895,Sparse and rural
E14000896,Urban
E14000897,Urban
E14000898,Urban with rural areas
E14000899,Urban
E14000900,Urban
E14000901,Urban with rural areas
E14000902,Urban
E14000903,Urban with rural areas
E14000904,Urban
E14000905,Urban with rural areas
E14000906,Urban
E14000907,Urban
E14000908,Rural
E14000909,Sparse and rural
E14000910,Sparse and rural
E14000911,Urban
E14000912,Urban with rural areas
E14000913,Urban with rural areas
E14000914,Urban
E14000915,Rural
E14000916,Urban
E14000917,Sparse and rural
E14000918,Urban with rural areas
E14000919,Urban
E14000920,Urban
E14000921,Urban
E14000922,Urban
E14000923,Urban
E14000924,Rural
E14000925,Urban with rural areas
E14000926,Urban with rural areas
E14000927,Urban with rural areas
E14000928,Sparse and rural
E14000929,Rural
E14000930,Urban
E14000931,Urban
E14000932,Sparse and rural
E14000933,Urban
E14000934,Rural
E14000935,Rural
E14000936,Urban with rural areas
E14000937,Rural
E14000938,Sparse and rural
E14000939,Rural
E14000940,Rural
E14000941,Sparse and rural
E14000942,Rural
E14000943,Urban with rural areas
E14000944,Urban
E14000945,Urban with rural areas
E14000946,Sparse and rural
E14000947,Urban
E14000948,Urban with rural areas
E14000949,Urban
E14000950,Urban with rural areas
E14000951,Urban with rural areas
E14000952,Sparse and rural
E14000953,Urban with rural areas
E14000954,Urban with rural areas
E14000955,Urban
E14000956,Urban
E14000957,Urban
E14000958,Urban
E14000959,Urban
E14000960,Urban
E14000961,Rural
E14000962,Urban
E14000963,Urban
E14000964,Sparse and rural
E14000965,Urban with rural areas
E14000966,Urban with rural areas
E14000967,Urban
E14000968,Urban
E14000969,Urban
E14000970,Urban
E14000971,Urban
E14000972,Urban
E14000973,Urban
E14000974,Urban
E14000975,Rural
E14000976,Urban
E14000977,Sparse and rural
E14000978,Urban
E14000979,Urban
E14000980,Urban with rural areas
E14000981,Rural
E14000982,Urban
E14000983,Urban
E14000984,Urban
E14000985,Urban
E14000986,Urban
E14000987,Urban with rural areas
E14000988,Urban with rural areas
E14000989,Urban
E14000990,Urban with rural areas
E14000991,Sparse and rural
E14000992,Urban with rural areas
E14000993,Sparse and rural
E14000994,Urban with rural areas
E14000995,Urban
E14000996,Rural
E14000997,Rural
E14000998,Urban
E14000999,Urban
E14001000,Sparse and rural
E14001001,Rural
E14001002,Urban
E14001003,Urban with rural areas
E14001004,Urban with rural areas
E14001005,Urban
E14001006,Urban
E14001007,Urban
E14001008,Urban
E14001009,Urban
E14001010,Urban
E14001011,Urban
E14001012,Urban
E14001013,Urban
E14001014,Urban with rural areas
E14001015,Rural
E14001016,Urban
E14001017,Urban with rural areas
E14001018,Urban
E14001019,Urban
E14001020,Urban
E14001021,Urban
E14001022,Urban with rural areas
E14001023,Urban with rural areas
E14001024,Urban with rural areas
E14001025,Urban with rural areas
E14001026,Urban with rural areas
E14001027,Urban
E14001028,Urban
E14001029,Urban
E14001030,Urban
E14001031,Sparse and rural
E14001032,Urban
E14001033,Urban with rural areas
E14001034,Rural
E14001035,Sparse and rural
E14001036,Urban
E14001037,Rural
E14001038,Urban
E14001039,Urban
E14001040,Urban
E14001041,Urban with rural areas
E14001042,Urban
E14001043,Urban
E14001044,Urban
E14001045,Rural
E14001046,Rural
E14001047,Urban
E14001048,Urban with rural areas
E14001049,Urban
E14001050,Urban
E14001051,Urban
E14001052,Urban
E14001053,Rural
E14001054,Urban
E14001055,Urban
E14001056,Urban
E14001057,Urban with rural areas
E14001058,Urban with rural areas
E14001059,Urban
E14001060,Rural
E14001061,Urban
E14001062,Urban with rural areas
N06000001,Urban
N06000002,Urban
N06000003,Urban
N06000004,Urban
N06000005,Urban with rural areas
N06000006,Sparse and rural
N06000007,Sparse and rural
N06000008,Urban with rural areas
N06000009,Rural
N06000010,Sparse and rural
N06000011,Sparse and rural
N06000012,Sparse and rural
N06000013,Urban with rural areas
N06000014,Rural
N06000015,Sparse and rural
N06000016,Sparse and rural
N06000017,Urban with rural areas
N06000018,Sparse and rural
S14000001,Urban
S14000002,Urban
S14000003,Urban with rural areas
S14000004,Urban with rural areas
S14000005,Sparse and rural
S14000006,Rural
S14000007,Sparse and rural
S14000008,Sparse and rural
S14000009,Sparse and rural
S14000010,Urban
S14000011,Urban with rural areas
S14000012,Urban with rural areas
S14000013,Rural
S14000014,Sparse and rural
S14000015,Urban
S14000016,Urban
S14000017,Urban with rural areas
S14000018,Urban
S14000019,Urban with rural areas
S14000020,Rural
S14000021,Urban
S14000022,Urban
S14000023,Urban
S14000024,Urban
S14000025,Urban
S14000026,Urban with rural areas
S14000027,Sparse and rural
S14000028,Urban
S14000029,Urban
S14000030,Urban
S14000031,Urban
S14000032,Urban
S14000033,Urban
S14000034,Urban
S14000035,Urban
S14000036,Urban with rural areas
S14000037,Urban with rural areas
S14000038,Urban with rural areas
S14000039,Urban with rural areas
S14000040,Rural
S14000041,Urban with rural areas
S14000042,Urban with rural areas
S14000043,Urban
S14000044,Urban with rural areas
S14000045,Urban with rural areas
S14000046,Sparse and rural
S14000047,Urban
S14000048,Rural
S14000049,Sparse and rural
S14000050,Sparse and rural
S14000051,Sparse and rural
S14000052,Urban with rural areas
S14000053,Urban
S14000054,Sparse and rural
S14000055,Sparse and rural
S14000056,Urban
S14000057,Urban with rural areas
S14000058,Sparse and rural
S14000059,Urban
W07000041,Sparse and rural
W07000042,Urban with rural areas
W07000043,Urban with rural areas
W07000044,Urban with rural areas
W07000045,Urban with rural areas
W07000046,Urban with rural areas
W07000047,Urban
W07000048,Urban
W07000049,Urban with rural areas
W07000050,Urban
W07000051,Urban
W07000052,Urban
W07000053,Urban
W07000054,Urban with rural areas
W07000055,Urban with rural areas
W07000056,Urban
W07000057,Rural
W07000058,Rural
W07000059,Urban with rural areas
W07000060,Urban with rural areas
W07000061,Sparse and rural
W07000062,Rural
W07000063,Sparse and rural
W07000064,Sparse and rural
W07000065,Sparse and rural
W07000066,Sparse and rural
W07000067,Sparse and rural
W07000068,Sparse and rural
W07000069,Urban with rural areas
W07000070,Urban with rural areas
W07000071,Urban with rural areas
W07000072,Urban
W07000073,Urban
W07000074,Rural
W07000075,Urban with rural areas
W07000076,Urban with rural areas
W07000077,Urban
W07000078,Urban with rural areas
W07000079,Urban
W07000080,Urban
