pcon,ruc-cluster-label
E14000530,Urban
E14000531,Urban
E14000532,Urban
E14000533,Urban with rural areas
E14000534,Rural
E14000535,Urban
E14000536,Urban with rural areas
E14000537,Urban
E14000538,Urban with rural areas
E14000539,Urban with rural areas
E14000540,Urban
E14000541,Urban
E14000542,Urban
E14000543,Urban with rural areas
E14000544,Urban
E14000545,Urban
E14000546,Urban with rural areas
E14000547,Urban
E14000548,Urban
E14000549,Urban
E14000550,Urban with rural areas
E14000551,Urban
E14000552,Urban
E14000553,Urban
E14000554,Sparse and rural
E14000555,Urban
E14000556,Rural
E14000557,Rural
E14000558,Urban
E14000559,Urban
E14000560,Urban
E14000561,Urban
E14000562,Urban
E14000563,Urban
E14000564,Urban
E14000565,Urban
E14000566,Urban
E14000567,Urban
E14000568,Urban
E14000569,Rural
E14000570,Urban
E14000571,Urban
E14000572,Urban
E14000573,Urban
E14000574,Urban with rural areas
E14000575,Urban with rural areas
E14000576,Urban
E14000577,Rural
E14000578,Urban
E14000579,Urban
E14000580,Urban
E14000581,Urban
E14000582,Urban with rural areas
E14000583,Urban with rural areas
E14000584,Urban
E14000585,Urban
E14000586,Urban
E14000587,Urban
E14000588,Urban
E14000589,Urban
E14000590,Urban with rural areas
E14000591,Urban
E14000592,Urban
E14000593,Urban
E14000594,Rural
E14000595,Rural
E14000596,Rural
E14000597,Urban
E14000598,Urban
E14000599,Urban
E14000600,Urban
E14000601,Urban
E14000602,Urban
E14000603,Sparse and rural
E14000604,Urban
E14000605,Urban with rural areas
E14000606,Urban
E14000607,Urban
E14000608,Sparse and rural
E14000609,Urban
E14000610,Urban
E14000611,Urban
E14000612,Urban
E14000613,Urban with rural areas
E14000614,Urban with rural areas
E14000615,Urban
E14000616,Rural
E14000617,Urban
E14000618,Urban
E14000619,Urban with rural areas
E14000620,Urban
E14000621,Urban
E14000622,Urban
E14000623,Sparse and rural
E14000624,Sparse and rural
E14000625,Urban with rural areas
E14000626,Urban
E14000627,Urban
E14000628,Urban
E14000629,Urban
E14000630,Urban
E14000631,Urban with rural areas
E14000632,Urban
E14000633,Rural
E14000634,Urban
E14000635,Urban with rural areas
E14000636,Urban
E14000637,Urban with rural areas
E14000638,Urban
E14000639,Urban
E14000640,Urban
E14000641,Rural
E14000642,Urban with rural areas
E14000643,Urban with rural areas
E14000644,Urban
E14000645,Urban with rural areas
E14000646,Urban with rural areas
E14000647,Rural
E14000648,Rural
E14000649,Urban
E14000650,Urban
E14000651,Urban
E14000652,Urban
E14000653,Urban
E14000654,Urban
E14000655,Urban
E14000656,Urban
E14000657,Urban
E14000658,Urban
E14000659,Urban
E14000660,Rural
E14000661,Urban
E14000662,Urban
E14000663,Urban
E14000664,Sparse and rural
E14000665,Sparse and rural
E14000666,Urban with rural areas
E14000667,Urban with rural areas
E14000668,Urban
E14000669,Urban with rural areas
E14000670,Urban with rural areas
E14000671,Urban
E14000672,Urban
E14000673,Urban
E14000674,Urban
E14000675,Urban
E14000676,Urban
E14000677,Urban with rural areas
E14000678,Urban with rural areas
E14000679,Urban
E14000680,Rural
E14000681,Urban with rural areas
E14000682,Urban
E14000683,Rural
E14000684,Urban
E14000685,Urban
E14000686,Sparse and rural
E14000687,Urban
E14000688,Urban
E14000689,Urban with rural areas
E14000690,Urban
E14000691,Urban
E14000692,Urban
E14000693,Urban
E14000694,Urban
E14000695,Urban
E14000696,Urban
E14000697,Urban
E14000698,Urban
E14000699,Urban
E14000700,Urban with rural areas
E14000701,Urban
E14000702,Urban
E14000703,Urban
E14000704,Rural
E14000705,Sparse and rural
E14000706,Urban with rural areas
E14000707,Sparse and rural
E14000708,Urban
E14000709,Urban
E14000710,Urban
E14000711,Urban
E14000712,Urban
E14000713,Urban
E14000714,Urban with rural areas
E14000715,Urban with rural areas
E14000716,Urban
E14000717,Urban with rural areas
E14000718,Urban
E14000719,Urban
E14000720,Urban
E14000721,Urban
E14000722,Urban
E14000723,Urban
E14000724,Urban with rural areas
E14000725,Urban
E14000726,Urban
E14000727,Urban
E14000728,Urban with rural areas
E14000729,Urban
E14000730,Urban
E14000731,Urban
E14000732,Urban
E14000733,Urban
E14000734,Rural
E14000735,Urban with rural areas
E14000736,Urban
E14000737,Urban
E14000738,Urban
E14000739,Urban
E14000740,Rural
E14000741,Urban
E14000742,Sparse and rural
E14000743,Urban with rural areas
E14000744,Urban
E14000745,Urban with rural areas
E14000746,Sparse and rural
E14000747,Urban
E14000748,Urban with rural areas
E14000749,Urban with rural areas
