index,cluster_no
E14000530,1
E14000531,1
E14000532,1
E14000533,4
E14000534,3
E14000535,1
E14000536,4
E14000537,1
E14000538,4
E14000539,4
E14000540,1
E14000541,1
E14000542,1
E14000543,4
E14000544,1
E14000545,1
E14000546,4
E14000547,1
E14000548,1
E14000549,1
E14000550,4
E14000551,1
E14000552,1
E14000553,1
E14000554,3
E14000555,1
E14000556,3
E14000557,3
E14000558,1
E14000559,1
E14000560,1
E14000561,1
E14000562,1
E14000563,1
E14000564,1
E14000565,1
E14000566,1
E14000567,1
E14000568,1
E14000569,3
E14000570,1
E14000571,1
E14000572,1
E14000573,1
E14000574,4
E14000575,4
E14000576,1
E14000577,3
E14000578,1
E14000579,1
E14000580,1
E14000581,1
E14000582,4
E14000583,4
E14000584,1
E14000585,1
E14000586,1
E14000587,1
E14000588,1
E14000589,1
E14000590,4
E14000591,1
E14000592,1
E14000593,1
E14000594,3
E14000595,3
E14000596,3
E14000597,1
E14000598,1
E14000599,1
E14000600,1
E14000601,1
E14000602,1
E14000603,3
E14000604,1
E14000605,4
E14000606,1
E14000607,1
E14000608,2
E14000609,1
E14000610,1
E14000611,1
E14000612,1
E14000613,4
E14000614,4
E14000615,1
E14000616,4
E14000617,1
E14000618,1
E14000619,4
E14000620,1
E14000621,1
E14000622,1
E14000623,2
E14000624,2
E14000625,4
E14000626,1
E14000627,1
E14000628,1
E14000629,1
E14000630,1
E14000631,4
E14000632,1
E14000633,3
E14000634,1
E14000635,4
E14000636,1
E14000637,4
E14000638,1
E14000639,1
E14000640,1
E14000641,3
E14000642,4
E14000643,4
E14000644,1
E14000645,4
E14000646,4
E14000647,3
E14000648,3
E14000649,1
E14000650,1
E14000651,1
E14000652,1
E14000653,1
E14000654,1
E14000655,1
E14000656,1
E14000657,1
E14000658,1
E14000659,1
E14000660,3
E14000661,1
E14000662,1
E14000663,1
E14000664,2
E14000665,3
E14000666,4
E14000667,4
E14000668,1
E14000669,4
E14000670,4
E14000671,1
E14000672,1
E14000673,1
E14000674,1
E14000675,1
E14000676,1
E14000677,4
E14000678,4
E14000679,1
E14000680,4
E14000681,4
E14000682,1
E14000683,3
E14000684,1
E14000685,1
E14000686,2
E14000687,1
E14000688,1
E14000689,4
E14000690,1
E14000691,1
E14000692,1
E14000693,1
E14000694,1
E14000695,1
E14000696,1
E14000697,1
E14000698,1
E14000699,1
E14000700,4
E14000701,1
E14000702,1
E14000703,1
E14000704,4
E14000705,2
E14000706,4
E14000707,2
E14000708,1
E14000709,1
E14000710,1
E14000711,1
E14000712,1
E14000713,1
E14000714,4
E14000715,4
E14000716,1
E14000717,4
E14000718,1
E14000719,1
E14000720,1
E14000721,1
E14000722,1
E14000723,1
E14000724,4
E14000725,1
E14000726,1
E14000727,1
E14000728,4
E14000729,1
E14000730,1
E14000731,1
E14000732,1
E14000733,1
E14000734,3
E14000735,4
E14000736,1
E14000737,1
E14000738,1
E14000739,1
E14000740,3
E14000741,1
E14000742,2
E14000743,4
E14000744,1
E14000745,4
E14000746,2
E14000747,1
E14000748,4
E14000749,4
E14000750,1
E14000751,1
E14000752,1
E14000753,4
E14000754,1
E14000755,1
E14000756,1
E14000757,4
E14000758,1
E14000759,1
E14000760,1
E14000761,1
E14000762,4
E14000763,1
E14000764,1
E14000765,1
E14000766,4
E14000767,3
E14000768,1
E14000769,4
E14000770,1
E14000771,1
E14000772,1
E14000773,1
E14000774,1
E14000775,1
E14000776,4
E14000777,1
E14000778,1
E14000779,1
E14000780,1
E14000781,1
E14000782,1
E14000783,1
E14000784,1
E14000785,1
E14000786,4
E14000787,1
E14000788,1
E14000789,1
E14000790,1
E14000791,4
E14000792,1
E14000793,1
E14000794,1
E14000795,1
E14000796,1
E14000797,1
E14000798,2
E14000799,2
E14000800,1
E14000801,1
E14000802,1
E14000803,4
E14000804,4
E14000805,1
E14000806,3
E14000807,1
E14000808,1
E14000809,1
E14000810,1
E14000811,4
E14000812,4
E14000813,3
E14000814,1
E14000815,4
E14000816,2
E14000817,1
E14000818,4
E14000819,1
E14000820,4
E14000821,1
E14000822,1
E14000823,1
E14000824,4
E14000825,4
E14000826,1
E14000827,4
E14000828,4
E14000829,3
E14000830,4
E14000831,1
E14000832,1
E14000833,1
E14000834,1
E14000835,4
E14000836,1
E14000837,2
E14000838,3
E14000839,2
E14000840,4
E14000841,3
E14000842,4
E14000843,1
E14000844,4
E14000845,4
E14000846,4
E14000847,2
E14000848,2
E14000849,2
E14000850,4
E14000851,1
E14000852,1
E14000853,1
E14000854,3
E14000855,3
E14000856,3
E14000857,4
E14000858,3
E14000859,3
E14000860,2
E14000861,1
E14000862,1
E14000863,1
E14000864,1
E14000865,1
E14000866,1
E14000867,1
E14000868,1
E14000869,1
E14000870,1
E14000871,1
E14000872,1
E14000873,1
E14000874,1
E14000875,1
E14000876,4
E14000877,2
E14000878,1
E14000879,1
E14000880,1
E14000881,1
E14000882,1
E14000883,1
